Maker Wise Vehicle Category Data  For All State ( Till Today ),,,,,,,,,,,,,,,,,,,
S No,                      Maker                       ,Vehicle Category ,,,,,,,,,,,,,,,,,     TOTAL     
,,,,,,,,,,,,,,,,,,,
,,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,
6384,SUMITRA UDYOG,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
6385,SUMUKHA AGRO INDUSTRIES.,0,60,0,0,0,0,0,0,0,0,20,22,0,0,0,0,0,102
6386,SUNAG CORPORATION,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3
6387,SUNANDA GREENTECH PVT LTD,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,435
6388,SUNARIYA MOTORS PVT LTD,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,81
6389,SUN AUTO,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,8
6390,SUNBEAM,0,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,27
6391,SUNDARALAKSHMI INDUSTRIES,0,1,0,0,0,0,0,4,44,0,51,796,4,0,2,1,5,908
6392,SUNDARAM CLAYTON LTD,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36
6393,SUNDARAM MOTORS,0,"9,962",1,0,1,4,0,12,0,9,37,91,7,2,1,0,28,"10,155"
6394,SUNDARESH TRAILERS,14,64,0,0,0,0,0,0,0,0,2,7,0,0,3,0,1,91
6395,SUNGLOW FAB LLP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6396,SUNIDHI ENGG WORKS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6397,SUNIL AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,1,0,"1,096",18,0,0,0,0,1,"1,116"
6398,SUNIL AGRO ENGINEERING WORKS ANGUL PANCHAMAHALA,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13
6399,SUNIL AND ANIL INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,148
6400,SUNIL PANCHAL ENGG,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
6401,SUNIL TRAILERS,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12
6402,SUN INDUSTRIES,0,0,0,0,0,799,0,0,0,0,0,0,0,0,0,0,0,799
6403,S.UNIVERSAL,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
6404,SUNJET ENERGY PVT LTD,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,11
6405,SUNKU AUTO LTD,0,395,0,0,69,"4,811",0,4,0,2,80,37,6,0,0,0,5,"5,409"
6406,SUNLECTRA AUTO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6407,SUN MOTORS,0,1,0,0,0,15,0,0,0,0,0,5,0,0,0,0,11,32
6408,SUN MOTORS PVT LTD,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,9
6409,SUNNY FARM ENGG,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11
6410,SUNNY MECH AND ENG.WORKS,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,39
6411,SUNRISE AGRICULTURE IND,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15
6412,SUNRISE AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0,0,65
6413,SUNRISE AUTO INDUSTRIES LTD,0,140,0,0,0,8,0,3,0,0,25,40,8,0,1,0,5,230
6414,SUNSET TRADE PVT LTD,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,867
6415,SUN SHINE ENGINEERING WORKS,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,5,20
6416,SUNSHINE TECHNOLOGIES,0,0,0,0,0,127,0,0,0,0,0,2,0,0,0,0,4,133
6417,SUN TRAILERS,0,1,0,0,0,0,0,0,0,0,4,16,0,0,0,0,1,22
6418,SUNULTRA POWER SOLUTIONS PVT LTD,0,0,0,0,0,360,0,0,0,0,0,0,1,0,0,0,0,361
6419,SUPAR AGRO ENG WORK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6420,SUPERECO AUTOMOTIVE CO,0,189,0,0,0,"2,156",0,0,0,0,1,9,0,0,0,0,86,"2,441"
6421,SUPERECO AUTOMOTIVE CO LLP,0,0,0,0,0,58,0,0,0,0,0,6,0,0,0,0,0,64
6422,SUPER JANTA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
6423,SUPER MAX INDUSTRIES,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
6424,SUPER METRO INDUSTRIES,0,0,0,0,0,"4,287",0,0,0,0,1,22,0,0,0,0,0,"4,310"
6425,SUPER POWER INDUSTRIES,0,2,0,0,0,0,0,0,0,0,31,2,0,0,0,0,2,37
6426,SUPER POWER MOTORS,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,303
6427,SUPER QUALITY TRAILER,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,19
6428,SUPER STANDARD AGRO COMBINE,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,48,55
6429,SUPER STEEL POLYTECH,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14
6430,SUPERTECH EV LIMITED,0,3,0,0,0,"7,379",0,0,0,0,1,2,0,0,0,0,1,"7,386"
6431,SUPER TECHNO AUTOMOTIVE LLP,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,178
6432,SUPER TRACTOR LTD.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5
6433,SUPER TRAILOR EROD,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12
6434,SUPER TROLLY AND ENGG. WORKS,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,58
6435,SUPER UDYOG LTD,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
6436,SUPPER STEEL POLYTEEH WORKS,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24
6437,SUPREME AGRI WORKS,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
6438,SUPREME AUTO DEALERS PVT LTD,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,8
6439,SUPREME SALES AGENCY,0,0,0,0,0,363,0,0,0,0,0,2,0,0,0,0,0,365
6440,SUPREME SMART POWER PVT LTD,0,1,0,0,0,"1,181",0,0,0,0,0,1,0,0,0,0,0,"1,183"
6441,SUPRIYA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6442,SUPROVA ENTERPRISE,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,11
6443,SURABHI ENGG WORKS,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
6444,SURAJBHAN ENG,0,0,0,0,0,0,0,8,0,0,126,4,0,0,0,0,0,138
6445,SURAJ ENGINEERING WORKS,0,18,0,0,0,11,0,0,1,0,61,338,2,2,3,0,1,437
6446,SURAJ INDUSTRIES,0,2,0,0,0,0,0,1,0,0,15,22,0,1,0,0,1,42
6447,SURAJ LTD.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6448,SURAJ MOTORS,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
6449,SURAJ REPAIRING WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6450,SURAJ STEEL INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
6451,"SURAJ STEEL WORKS,SINNAR",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
6452,SURAJ TRAILOR,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18
6453,SURAKSHA TRAILORS,0,0,0,0,0,0,0,0,0,0,19,172,0,0,0,0,0,191
6454,SUREJA AUTO INDUSTRIES,0,33,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,39
6455,SURENDERA AGRO INDUSTRIES,0,0,0,0,0,1,0,3,75,0,3,58,0,5,0,0,302,447
6456,SURENDRA AND BROTHERS,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
6457,SURENDRA ENGEEN.WORKS,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
6458,SURENDRA KUMAR INDUSTRIES,0,80,0,0,0,0,0,0,0,0,3,47,4,2,0,0,1,137
6459,SURESH BROTHERS,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,34
6460,SURESH ENGG. WORKS.,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,2,38
6461,SURESH ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6462,SURGUJA ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
6463,SURINDERA AGRO INSDUSTRIES,0,43,0,0,0,0,0,0,0,0,0,51,0,1,6,0,"1,002","1,103"
6464,SURINDERA COMBINES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6465,SURJA AUTOMOTIVE PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6466,SURYA AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,9,511,0,13,69,0,3,605
6467,SURYA AGRO MACH PVT LTD,0,0,0,0,0,0,0,0,1,0,13,141,0,0,0,0,0,155
6468,SURYABALA AUTOS (P) LTD,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6469,SURYA INDUSTRIES,0,0,0,0,0,0,0,0,1,0,17,"1,422",0,1,31,0,4,"1,476"
6470,SURYA INTERNATIONAL,0,0,0,0,0,40,0,0,0,0,0,8,0,0,0,0,0,48
6471,SURYAKANT ENGINEERING,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,7
6472,SURYA MODERN AGRI,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
6473,SURYA MODERN TRAILOR,0,0,0,0,0,0,0,0,0,0,5,101,0,0,0,0,0,106
6474,SURYA MOTORS,0,4,0,0,0,0,0,0,2,0,28,26,0,0,1,0,1,62
6475,SURYA SCOOTERS P.LTD,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
6476,SURYA STEEL WORKS,0,0,0,0,0,0,0,1,4,0,43,40,0,0,1,0,0,89
6477,SURYA TRAILERS,0,1,0,0,0,0,0,0,6,0,18,17,0,0,0,1,2,45
6478,SURYA TRAILORS AND TANKERS,0,0,0,0,0,0,0,0,4,0,22,286,2,0,0,0,2,316
6479,SURYA TROLLY,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
6480,SURYODAY MECHANICAL WORKS,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,1,10
6481,SUSEE AUTOMOBILES (P) LTD,0,25,0,0,1,4,0,0,0,0,5,4,1,1,0,0,0,41
6482,SUSHAM  FABRICATORS,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14
6483,SUSHI ENGINEERS,0,41,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,60
6484,SUSIL AND CO,0,2,0,0,0,0,0,0,0,0,1,8,0,1,0,1,1,14
6485,SUTLAJ MOTORS LTD,0,110,0,0,1,8,0,5,1,16,61,24,9,10,0,2,13,260
6486,SUTTGART GERMANY,0,16,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,21
6487,SUVAGA MOPED,0,96,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,100
6488,SUYOG WELDING WORKS,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,32
6489,SUZUKI JAPAN,0,65,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,76
6490,SUZUKI MOTORCYCLE INDIA PVT LTD,"2,684","80,22,405","10,241",0,1,67,3,"1,716",12,62,"2,116","8,094",914,152,4,14,88,"80,48,573"
6491,S.V AUTOMOTIVE,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,914
6492,S V B TRAILER,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13
6493,S V ENGG,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16
6494,S.V.ENGINEERS,0,0,0,0,0,0,0,0,1,0,7,79,0,0,0,0,1,88
6495,SV FURNITURE  AND ENGG WORKS,0,0,0,0,0,0,0,0,0,0,8,134,0,0,0,0,0,142
6496,S V FURNITURE WORKS,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,11
6497,S V G DVG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6498,S.V.I,0,0,0,0,0,0,0,0,0,0,50,8,0,0,0,0,0,58
6499,SVS ENTERPRISES,0,0,0,0,0,122,0,0,0,0,6,0,0,0,0,0,0,128
6500,S.V.T. HUBLI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6501,S V TRAILER,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,26
6502,SWADESHI INDUSTRIES,0,0,0,0,0,37,0,0,0,0,1,6,1,0,0,0,0,45
6503,SWADESH MOTORS AND TRACTORS LTD,0,0,0,0,0,0,0,0,0,0,23,151,1,1,1,0,1,178
6504,SWAMI AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,391,2,0,0,0,0,0,393
6505,SWAMI AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,4,65,0,0,1,0,0,70
6506,SWAMI AGRO TECH,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,9
6507,SWAMI COACHES AND ENG. PVT.LTD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6508,SWAMI ENGINEERING WORKS,0,116,0,0,0,0,0,3,1,0,35,273,0,6,2,2,0,438
6509,SWAMI INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
6510,SWAMI MOTORS AND TRACTOR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6511,SWAMI RAJ ENGINEERING,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
6512,SWAMI SAMARTH FAB AND ENGG,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13
6513,SWAMI VIVEKANAND AGRO IND.,0,0,0,0,0,0,0,1,0,0,203,2,0,0,0,0,0,206
6514,SWANTAMALI TRAILER,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
6515,"SWAPNA FABRICATION WORKS,MALKANGIRI",0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,21
6516,SWAPNA FABRICATION WORKS MALKANGIRI MAIN ROAD,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
6517,SWAPNIL TRAILORS,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12
6518,SWARAJ AUTOMOTIVES LTD,0,29,1,0,1,26,5,31,10,194,"3,687","1,894","3,011","14,986",272,"1,258",38,"25,443"
6519,SWARNALATHA ENGINEERING WORKS AP49764388,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6520,SWARNCHAKRA AUTOMOBILES PVT LTD,0,0,0,0,0,58,0,0,0,0,0,5,0,1,0,1,0,65
6521,SWASTIK,0,2,0,0,0,107,0,0,0,0,1,41,0,1,0,0,0,152
6522,SWASTIK AGRICULTURAL IMPLEMENT,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
6523,SWASTIK AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,5,285,0,0,0,0,0,290
6524,SWASTIK ENGINEERING WORKS,0,1,0,0,0,0,0,1,0,0,383,148,1,1,0,0,0,535
6525,SWASTIK INDUSTRIES,0,0,0,0,0,0,0,0,0,0,144,12,0,0,0,0,0,156
6526,SWASTIK TRAILOR LTD,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
6527,SWATH AGRO ENGINEERING WORKS,0,11,0,0,0,0,0,0,0,0,2,5,1,1,0,0,0,20
6528,SWATHI ASSOCIATES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6529,SWATHI INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,0,10,39,0,0,0,0,0,49
6530,SWATHI TRAILERS,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
6531,SWATI AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,19
6532,SWETA AGRO INDUSTRIES,0,0,0,0,0,0,0,1,0,0,58,2,0,0,0,0,0,61
6533,SWITCH MOBILITY AUTOMOTIVE LTD,0,0,0,0,0,0,0,0,0,"1,227",685,2,0,0,0,0,134,"2,048"
6534,SWTEN AUTOMOBILES,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
6535,SYAN AGRO INDUSTRY,0,3,0,0,0,0,0,1,0,0,1,154,0,1,7,0,546,713
6536,SYN AUTO SOLUTIONS PVT LTD,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
6537,SYNDICATE AUTO COMPONENTS,0,0,0,0,0,593,0,0,0,0,0,1,0,0,0,0,0,594
6538,"SYSTEM STROBEL, GERMANY",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
6539,TADANO LIMITED,0,210,0,0,0,0,0,27,112,0,18,29,1,0,3,1,71,472
6540,TAFE LIMITED,3,"5,991",0,0,32,64,0,"4,905",499,62,"1,18,175","15,71,678","24,896",710,"1,420",18,"30,463","17,58,916"
6541,TAIZHOU CITY (IMPORTER:KRISHIKA EV INDIA),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6542,TAJ METALS PVT LTD,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,41
6543,TAKDIR AUTO,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,7
6544,TALAT FABRICATORS,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,7
6545,TALAT TROLLY INDUSTRIES,0,0,0,0,0,0,0,270,0,1,259,5,0,0,0,0,1,536
6546,TALGALANTE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6547,TAMARIA VENTURES,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
6548,TAMIL NADU AGRO TRAILER,0,3,0,0,1,0,0,7,14,0,27,76,3,1,1,0,5,138
6549,TAMILNADU INDUSTRIES,0,5,0,0,0,2,0,12,58,0,18,34,3,5,3,1,14,155
6550,TAMIL NADU MACHINE WORKS,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,18
6551,TAMILNADU MOPEDS LTD,0,257,0,0,0,4,0,100,4,15,276,102,22,11,1,1,61,854
6552,TAMIL NADU TRAILERS,0,38,0,0,1,7,0,46,71,1,120,188,2,73,11,0,33,591
6553,T AND T SAMRAT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6554,TANKER AGRO TRAILER,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6555,TANMAY TRAILERS AND AGRO EQUIPMENTS,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,42
6556,TAO POWER PRIVATE LIMITED,0,0,0,0,0,26,0,2,1,0,4,0,0,0,0,0,0,33
6557,TAQDEER AGRI,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
6558,TAQDEER AGRO IND,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
6559,TARA MAA MACHINERY,0,0,0,0,0,247,0,0,0,0,0,1,0,0,0,0,0,248
6560,TARINI INDUSTRIES,0,0,0,0,0,0,0,1,0,0,"1,004",1,2,2,0,0,2,"1,012"
6561,TARLE CONSTRUCTION EQUIPMENTS PVT LTD,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,63,68
6562,TARZAN MOTORS,0,17,0,0,0,0,0,8,2,0,4,118,4,2,62,0,1,218
6563,TATA ADVANCED SYSTEMS LTD,0,0,0,0,0,0,0,858,3,4,777,6,19,47,0,2,3,"1,719"
6564,TATA CONSULTING ENGINEERS LIMITED,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6565,TATA HITACHI CONSTRUCTION MACHINERY CO.LTD.,0,0,0,0,0,0,0,86,78,0,90,73,0,460,154,0,7,948
6566,TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD,0,0,0,0,0,0,0,237,259,9,76,208,14,449,"1,048",2,"5,773","8,075"
6567,TATA HITACHI MACHINERY CONSTRUCTION LIMITED,0,947,0,0,0,0,0,263,102,0,657,354,23,116,281,5,229,"2,977"
6568,TATA INTERNATIONAL VEHICLE APPLICATIONS PVT LTD,0,0,0,0,0,1,0,350,2,7,36,65,10,6,2,5,6,490
6569,TATA MOTORS LTD,40,"36,171",12,0,118,"9,154",989,"34,92,528","8,897","3,72,348","35,35,329","35,41,814","10,67,128","3,05,055","4,008","1,49,709","42,922","1,25,66,222"
6570,TATA MOTORS PASSENGER VEHICLES LTD,3,0,0,0,0,0,"2,812",9,3,57,5,"16,24,642","9,594",0,1,17,5,"16,37,148"
6571,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,0,0,0,77,0,0,0,0,"1,22,478","13,518",0,0,0,0,"1,36,073"
6572,TATA UDYOG LTD,0,3,0,0,0,0,0,6,1,0,3,3,2,0,0,0,0,18
6573,TATRA INDIA LTD.,0,26,0,0,7,31,0,801,16,41,212,346,81,24,0,4,70,"1,659"
6574,TATTI AGRO CARE,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
6575,TAURUS AUTOMOBILE INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
6576,TAURUS ELECTRIC VEHICLES,0,0,0,0,0,"1,013",0,0,0,0,0,0,0,0,0,0,0,"1,013"
6577,TBL ENTERPRISE,0,1,0,0,0,0,0,4,0,0,7,0,3,0,1,0,6,22
6578,T D V LTD.,0,3,0,0,0,11,1,"6,924",4,326,"1,332",33,17,198,1,9,9,"8,868"
6579,TECH AUTOMOBILES,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,21
6580,TECH INDUSTIERS,0,3,0,0,0,0,0,0,0,0,4,35,17,0,0,0,0,59
6581,TECHNIC FABRICATIONS PVT LTD,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
6582,TECHNO BIKES PVT LTD.,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
6583,"TECHNO CAR SPA, ITALY",0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,2,20
6584,TECHNO EXPORT U.S.S.R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6585,TECHNO PLANT ENGNEERS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6586,TEDC LTD,0,32,0,0,3,8,1,"1,959",49,145,972,"1,559",232,164,6,22,212,"5,364"
6587,TEDI (INDIA) PRIVATE LIMITED,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,7
6588,TEJARAM AGRO ENG WORKS,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,48
6589,TEJAS ENERGY,0,0,0,0,0,82,0,0,0,0,0,1,0,0,0,0,0,83
6590,TEJASGREEN AUTOMOTIVE PVT LTD,0,0,0,0,0,231,0,0,0,0,1,0,0,0,0,0,0,232
6591,TEJAS POLYMERS AND ENGINEERS,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
6592,TEKRIWAL TRAILORS,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,6,153
6593,TELA TECH INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
6594,TELCO LTD,0,158,1,0,4,180,3,"13,652",325,"2,648","13,681","17,747","4,606",745,141,917,408,"55,216"
6595,TELE MOTORS LTD,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
6596,TELE TECH INDUSTRIES,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
6597,TELMOS AUTO P LTD.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6598,TELSA INC,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,3,9
6599,TEMPO AUTOMOBILES PVT. LTD.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6600,TENAX INTERNATIONAL (IMPORTER: VERT EQUIPMENT),0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,6
6601,TEREX CORPORATION,1,742,0,0,1,27,2,"1,261",70,2,"1,942","1,787",68,368,225,1,"1,213","7,710"
6602,TEREX EQUIPMENT PVT LTD,0,1,0,0,0,0,0,79,151,0,40,55,0,90,140,0,635,"1,191"
6603,TEREX INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,1,20,0,1,4,1,1,0,0,205,233
6604,TERRA MOTORS INDIA PVT LTD,0,1,0,0,6,"44,127",0,3,0,0,4,8,0,0,0,0,66,"44,215"
6605,TESLA INDIA MOTORS AND ENERGY PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6606,TEST,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3
6607,TFEL TRACTOR LTD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6608,THAVE ENTERPRISES,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,138
6609,THCMC LTD,0,0,0,0,0,0,0,3,0,0,14,1,0,0,3,0,1,22
6610,THE CHARLES MACHINE WORKS INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38
6611,THE COMMERCIAL MOTORS LIMITED,0,6,0,0,0,226,0,1,0,0,2,3,0,0,1,0,0,239
6612,THE COMMERCIAL MOTORS PVT LTD,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,19
6613,THE END AUTO LTD,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
6614,THE LONDEN TAXI COMPANY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6615,THE LONDON TAXI COMPANY,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3
6616,THE MAHARASHTRA AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
6617,THE MODASA AGRI. WELDING WORK,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13
6618,THENDRAL MOTORS,0,1,0,0,0,0,0,1,0,0,1,19,1,0,0,0,0,23
6619,THE NEW MYSORE ENG. WORKS,0,592,0,0,0,0,0,0,0,0,5,618,0,0,0,0,0,"1,215"
6620,THE SHAKTI TRAILOR,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
6621,THE TRICHY AGRO INDUSTRY,0,4,0,0,0,0,0,3,16,1,11,75,2,0,0,0,3,115
6622,THE TRUE SAI WORKS,0,"1,858",0,0,1,30,0,42,5,5,116,75,34,8,0,2,12,"2,188"
6623,THILAK INDUSTRIES,0,0,0,0,0,0,0,0,0,0,10,95,0,0,0,0,0,105
6624,THIMMANNA GENERAL ENGG WORKS,0,0,0,0,0,0,0,0,0,0,3,67,0,0,0,0,1,71
6625,THIRUMALA AGRO INDUSTRY,0,378,0,0,3,0,0,1,4,0,200,532,239,10,72,1,19,"1,459"
6626,THIRUMALA ENGG WORKS,0,13,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,23
